1;90000,00;Bachelors;Professional;0
2;60000,00;Bachelors;Professional;1
3;60000,00;Bachelors;Professional;1
4;70000,00;Bachelors;Professional;1
5;80000,00;Bachelors;Professional;4
6;70000,00;Bachelors;Professional;1
7;70000,00;Bachelors;Professional;1
8;60000,00;Bachelors;Professional;2
9;60000,00;Bachelors;Professional;3
10;70000,00;Bachelors;Professional;1
11;70000,00;Bachelors;Professional;1
12;60000,00;Bachelors;Professional;4
13;100000,00;Bachelors;Management;2
14;100000,00;Bachelors;Management;3
15;100000,00;Bachelors;Management;3
16;30000,00;Partial College;Skilled Manual;1
17;30000,00;Partial College;Skilled Manual;1
18;20000,00;High School;Skilled Manual;2
19;30000,00;Partial College;Clerical;2
20;40000,00;High School;Skilled Manual;2
21;40000,00;High School;Skilled Manual;2
22;40000,00;Partial College;Skilled Manual;1
23;40000,00;Partial College;Skilled Manual;1
24;40000,00;Partial College;Skilled Manual;1
25;60000,00;Partial College;Skilled Manual;2
26;10000,00;Partial High School;Clerical;2
27;30000,00;Partial College;Clerical;2
28;30000,00;Partial College;Clerical;2
29;30000,00;Partial College;Clerical;2
30;30000,00;Partial College;Clerical;2
31;10000,00;Partial High School;Clerical;2
32;20000,00;High School;Skilled Manual;2
33;20000,00;High School;Skilled Manual;2
34;20000,00;High School;Skilled Manual;2
35;20000,00;High School;Skilled Manual;2
36;10000,00;Partial High School;Clerical;2
37;60000,00;Partial College;Skilled Manual;2
38;40000,00;Partial High School;Clerical;2
39;10000,00;Partial High School;Clerical;2
40;30000,00;Partial College;Clerical;2
41;30000,00;Partial College;Skilled Manual;2
42;60000,00;Partial College;Skilled Manual;2
43;70000,00;Partial College;Skilled Manual;2
44;60000,00;Partial College;Skilled Manual;2
45;20000,00;Partial High School;Clerical;2
46;30000,00;High School;Skilled Manual;2
47;30000,00;High School;Skilled Manual;2
48;30000,00;High School;Skilled Manual;2
49;30000,00;High School;Skilled Manual;2
50;40000,00;Partial High School;Clerical;2
51;30000,00;High School;Skilled Manual;2
52;30000,00;High School;Skilled Manual;2
53;40000,00;Partial College;Clerical;2
54;60000,00;Partial College;Skilled Manual;2
55;40000,00;Partial College;Skilled Manual;2
56;40000,00;Partial College;Skilled Manual;2
57;40000,00;Partial College;Skilled Manual;2
58;70000,00;Graduate Degree;Management;2
59;80000,00;Partial College;Skilled Manual;2
60;80000,00;Partial College;Skilled Manual;2
61;80000,00;Partial College;Skilled Manual;2
62;80000,00;Partial College;Skilled Manual;2
63;40000,00;High School;Skilled Manual;2
64;40000,00;High School;Skilled Manual;2
65;40000,00;High School;Skilled Manual;2
66;60000,00;Partial College;Skilled Manual;2
67;70000,00;Partial College;Professional;2
68;60000,00;Partial College;Professional;2
69;80000,00;High School;Skilled Manual;2
70;80000,00;High School;Skilled Manual;2
71;80000,00;High School;Skilled Manual;2
72;80000,00;High School;Skilled Manual;2
73;80000,00;High School;Skilled Manual;2
74;70000,00;High School;Skilled Manual;2
75;70000,00;High School;Skilled Manual;2
76;80000,00;High School;Professional;2
77;80000,00;High School;Professional;2
78;80000,00;High School;Professional;2
79;40000,00;High School;Professional;2
80;160000,00;Graduate Degree;Management;2
81;170000,00;Graduate Degree;Management;2
82;120000,00;Bachelors;Management;3
83;130000,00;Graduate Degree;Management;3
84;130000,00;Graduate Degree;Management;3
85;80000,00;Partial High School;Skilled Manual;2
86;60000,00;High School;Professional;2
87;70000,00;Partial College;Professional;0
88;70000,00;Partial College;Professional;0
89;80000,00;Bachelors;Management;0
90;80000,00;Bachelors;Management;1
91;90000,00;Partial College;Professional;1
92;90000,00;Partial College;Professional;1
93;90000,00;Bachelors;Professional;0
94;100000,00;Graduate Degree;Management;0
95;70000,00;Partial College;Skilled Manual;1
96;70000,00;Partial College;Skilled Manual;1
97;60000,00;Bachelors;Professional;1
98;60000,00;Partial College;Skilled Manual;1
99;60000,00;Partial College;Skilled Manual;1
100;60000,00;Bachelors;Professional;1
101;60000,00;Partial College;Skilled Manual;1
102;70000,00;Bachelors;Professional;1
103;80000,00;Bachelors;Professional;4
104;70000,00;Bachelors;Professional;1
105;70000,00;Bachelors;Professional;1
106;70000,00;Bachelors;Professional;1
107;70000,00;Bachelors;Professional;1
108;90000,00;Bachelors;Professional;1
109;70000,00;Bachelors;Professional;2
110;70000,00;Bachelors;Professional;2
111;60000,00;Partial College;Skilled Manual;1
112;60000,00;Partial College;Skilled Manual;1
113;60000,00;Partial College;Skilled Manual;1
114;70000,00;Bachelors;Professional;2
115;70000,00;Partial College;Skilled Manual;2
116;70000,00;Partial College;Skilled Manual;2
117;70000,00;Partial College;Skilled Manual;2
